date,f41_contrib_h1,f42_contrib_h1,f43_contrib_h1,f45_contrib_h1,f49_contrib_h1,f411_contrib_h1,intercept_h1,score_h1_predret,score_h1_noint,f41_contrib_h4,f42_contrib_h4,f43_contrib_h4,f45_contrib_h4,f49_contrib_h4,f411_contrib_h4,intercept_h4,score_h4_predret,score_h4_noint,f41_contrib_h8,f42_contrib_h8,f43_contrib_h8,f45_contrib_h8,f49_contrib_h8,f411_contrib_h8,intercept_h8,score_h8_predret,score_h8_noint,f41_contrib_h12,f42_contrib_h12,f43_contrib_h12,f45_contrib_h12,f49_contrib_h12,f411_contrib_h12,intercept_h12,score_h12_predret,score_h12_noint,f41_contrib_h16,f42_contrib_h16,f43_contrib_h16,f45_contrib_h16,f49_contrib_h16,f411_contrib_h16,intercept_h16,score_h16_predret,score_h16_noint,f41_contrib_h20,f42_contrib_h20,f43_contrib_h20,f45_contrib_h20,f49_contrib_h20,f411_contrib_h20,intercept_h20,score_h20_predret,score_h20_noint
2013-01-04,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-01-11,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-01-18,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-01-25,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-02-01,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-02-08,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-02-15,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-02-22,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-03-01,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-03-08,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
2013-03-15,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0
