horizon_w,factor,type,N,pearson,spearman_ic
1,score_h1_predret,total_with_intercept,495,-0.05476101608758031,-0.07771559898396241
1,score_h1_noint,total_no_intercept,675,-0.029707424792116962,-0.04944048061849621
1,f41,single_factor,654,0.055763708396710424,0.07380328496613163
1,f42,single_factor,663,0.03884476034109519,0.02916313884619847
1,f43,single_factor,671,-0.0730475986846578,-0.03801914257411896
1,f45,single_factor,577,-0.02879716093161993,-0.030835462079461657
1,f49,single_factor,672,-0.0670345651808137,-0.04542548165638136
1,f411,single_factor,669,-0.03447139690840984,-0.024863124945711475
4,score_h4_predret,total_with_intercept,492,0.0881981698479371,0.11421556665913413
4,score_h4_noint,total_no_intercept,672,0.010289634528132035,0.012594734871919262
4,f41,single_factor,651,0.028066298854501792,0.0705699562014292
4,f42,single_factor,660,0.047468799838740555,0.04252197085463959
4,f43,single_factor,669,-0.10888450664126001,-0.12416109074663506
4,f45,single_factor,574,-0.06582392743670198,-0.07746186323977099
4,f49,single_factor,669,-0.08148690265241856,-0.04201325317631863
4,f411,single_factor,666,-0.0765280337146744,-0.07824116363391773
8,score_h8_predret,total_with_intercept,488,0.13422046168489093,0.16441757384206415
8,score_h8_noint,total_no_intercept,668,0.06658822064772363,0.11880524683489091
8,f41,single_factor,647,-0.027006980482399554,0.029350447871938218
8,f42,single_factor,656,0.03637047960992225,0.06907326204472289
8,f43,single_factor,665,-0.12392667396855286,-0.1497837833660611
8,f45,single_factor,570,-0.06328232809512262,-0.07872914639632528
8,f49,single_factor,665,-0.0670105820080975,-0.010816275932013756
8,f411,single_factor,662,-0.09376341246031059,-0.10576574524382922
12,score_h12_predret,total_with_intercept,484,0.15552147586573162,0.19218896091374504
12,score_h12_noint,total_no_intercept,664,0.0832108104998652,0.15690540623803703
12,f41,single_factor,643,-0.09501251289399895,-0.06785405414577908
12,f42,single_factor,652,0.1225799959758766,0.11594181725193412
12,f43,single_factor,661,-0.15227773998489455,-0.20237356658502023
12,f45,single_factor,566,-0.06703547485202421,-0.08553971790911874
12,f49,single_factor,661,0.00988218271907355,0.07733339885539245
12,f411,single_factor,658,-0.09867160405455995,-0.12919893739029426
16,score_h16_predret,total_with_intercept,480,0.21767606884157603,0.22866046978790758
16,score_h16_noint,total_no_intercept,660,0.07949126537913534,0.17513961324224203
16,f41,single_factor,640,-0.07819765731108093,-0.08816870862850487
16,f42,single_factor,648,0.21325244115218334,0.1290266134201063
16,f43,single_factor,657,-0.17194976192477945,-0.21375701322979868
16,f45,single_factor,562,-0.0779668086696144,-0.10142949520045831
16,f49,single_factor,657,0.026624527400798556,0.07344600273819286
16,f411,single_factor,654,-0.10527277817924913,-0.1298536393249168
20,score_h20_predret,total_with_intercept,476,0.23342920559347802,0.22336442327720737
20,score_h20_noint,total_no_intercept,656,0.08195780837880472,0.2002164783145716
20,f41,single_factor,639,-0.05590593304656028,-0.11795506155618637
20,f42,single_factor,644,0.26390650434985385,0.13182779755415586
20,f43,single_factor,653,-0.16458824095170999,-0.21476744963714256
20,f45,single_factor,558,-0.08185585650390262,-0.0894331600825837
20,f49,single_factor,653,0.017028706343727665,0.05967453151959646
20,f411,single_factor,650,-0.10204711520074683,-0.11375796701611497
